-DOCSTART- -X- O

บริการดี -X- _ B-Service_Pos
ทำเลที่ตั้งเดินทางสะดวก -X- _ B-Location_Pos
ห้องกว้างขวางมาก -X- _ B-Value_Pos
คุ้มค่ามาก -X- _ I-Value_Pos

พนักงานบริการดี -X- _ B-Service_Pos
ห้องพักสะอาด -X- _ B-Clean_Pos
บรรยากาศดีมากมาก -X- _ B-Good_View
เหมาะกับการมาพักผ่อน -X- _ I-Good_View

บริการดีมากค่ะ -X- _ B-Service_Pos
ห้องสะอาด -X- _ B-Clean_Pos
ต้องมีไปอีกแน่นอนค่ะ -X- _ B-Impressed_Pos

พนักงานดูแลดีมากครับ -X- _ B-Service_Pos
มีเพิ่มขนาดห้องให้ด้วย -X- _ I-Service_Pos
บริการประทับใจ -X- _ I-Service_Pos

ชอบที่นี่มากๆ -X- _ B-Quality_Pos
เงียบสงบ -X- _ I-Quality_Pos
เตียงนุ่มสบาย -X- _ I-Quality_Pos
อากาศดี -X- _ I-Quality_Pos
คุ้มที่สุด -X- _ I-Quality_Pos

ดีสมราคา -X- _ B-Quality_Pos
เตียงหมอนนุ่มนอนสบายที่สุด -X- _ I-Quality_Pos
สระว่ายน้ำสวย -X- _ I-Quality_Pos
อาหารเช้าใช้ได้ -X- _ B-Food_Neu

ที่พักสวยมาก -X- _ O
ห้องพักสะอาด -X- _ B-Clean_Pos
บรรยากาศดี -X- _ O
โดยรวมถือว่าดีมากค่ะ -X- _ B-Impressed_Pos
ประทับใจ -X- _ I-Impressed_Pos
มีโอกาสจะกลับไปพักอีก -X- _ I-Impressed_Pos

ชอบมากค่ะ -X- _ B-Impressed_Pos
โรแมนติค -X- _ I-Impressed_Pos

ห้องสวย -X- _ B-Room_Pos
สะอาดมาก -X- _ B-Clean_Pos
สระว่ายน้ำวิวดี -X- _ B-Good_View
ห้องพักเงียบสงบ -X- _ O
อาหารอร่อยค่ะ -X- _ B-Food_Pos

ห้องสวยมาก -X- _ B-Room_Pos
บรรยากาศดีมากๆ -X- _ B-Good_View
ที่ถ่ายรูปเยอะ -X- _ I-Good_View
สวย -X- _ I-Good_View
บริการดี -X- _ B-Service_Pos

บรรยากาศดี -X- _ B-Good_View
ห้องสะอาด -X- _ B-Clean_Pos
พนักงานดูแลเต็มที่ -X- _ B-Service_Pos

ห้องพัก -X- _ O
สะอาด -X- _ B-Clean_Pos
พนักงาน -X- _ B-Service_Pos
น่ารัก -X- _ I-Service_Pos
อัธยาศัยดี -X- _ I-Service_Pos
ที่พักมีสัตว์ให้เล่นได้ -X- _ O
ใช้วันหยุดอยู่กับที่พักไมาได้ออกไปไหนเลย -X- _ O
เหมาะกับการไปพักผ่อน -X- _ O
ไว้มีโอกาสจะกลับไปอีกค่ะ -X- _ B-Impressed_Pos

ห้องใหญ่ -X- _ B-Room_Pos
สะอาด -X- _ B-Clean_Pos
บรรยากาศดีครับ -X- _ B-Good_View

บรรยากาศดี -X- _ B-Good_View

พนักงานน่ารักมากๆเลยคะ -X- _ B-Service_Pos
ที่พักบรรยากาศดี -X- _ O
วิวสวยมากคะ -X- _ O
นอนแบบไม่เปิดแอร์เลยเปิดแต่พัดลมในห้องบรรยากาศดีมากชอบๆคะ -X- _ B-Impressed_Pos
ไว้มีโอกาสจะไปพักอีกนะคะ -X- _ I-Impressed_Pos

โรงแรมดีมาก -X- _ O
มีที่เที่ยวในโรงแรม -X- _ O
มีสัตว์ให้ดูด้วย -X- _ O
มีที่ให้เด็กเล่น -X- _ O
อากาศดี -X- _ B-Good_View
บรรยากาศดี -X- _ I-Good_View
พนง -X- _ B-Service_Pos
เอาใจใส่ -X- _ I-Service_Pos

อาหารเช้าอร่อย -X- _ B-Various_Pos
มีให้เลือกหลากหลายมาก -X- _ I-Various_Pos
ห้องพักสะอาด -X- _ B-Clean_Pos
บรรยากาศดี -X- _ B-Good_View
มีโอกาสจะกลับไปพักอีกแน่ๆๆค่ะ -X- _ B-Impressed_Pos

สะอาด -X- _ B-Clean_Pos
สวย -X- _ B-Recommend_Neg
ใหญ่ -X- _ I-Recommend_Neg
ห้องกว้าง -X- _ I-Recommend_Neg
อากาศดีมากๆค่ะแนะนำ -X- _ I-Recommend_Neg

ต้องมาพักสักครั้งค่ะ -X- _ B-Recommend_Pos

บรรยากาศดี -X- _ B-Good_View
อากาศดีมาก -X- _ I-Good_View
ห้องอาหาร -X- _ B-Clean_Neg
ยุงเยอะไปหน่อย -X- _ I-Clean_Neg

อาหารเช้าหลากหลาย -X- _ B-Various_Pos
ทำเลดี -X- _ B-Location_Pos
ไปที่เที่ยวต่างๆง่าย -X- _ I-Location_Pos

ที่พักดีมาก -X- _ O
บรรยากาศดี -X- _ B-Good_View
อากาศก็ดี -X- _ I-Good_View
พนักงานน่ารักทุกคน -X- _ B-Service_Pos
ห้องพักสะอาดนอนสบาย -X- _ B-Clean_Pos
อาหารเช้าดี -X- _ B-Food_Pos
สระว่ายน้ำสวย -X- _ O
มีอัลปาก้า -X- _ O
มีกระต่ายด้วย -X- _ O

ครั้งนี้พักเป็นครั้งที่ -X- _ B-Impressed_Pos
2 -X- _ I-Impressed_Pos
แล้วค่ะ -X- _ I-Impressed_Pos
ยังชอบบรรยากาศและการบริการของที่โรงแรมเหมือนเดิม -X- _ I-Impressed_Pos
ค่ะ -X- _ I-Impressed_Pos

ประทับใจมากค่ะ -X- _ B-Impressed_Pos
วิวสวยบรรยากาศดีมากๆค่ะ -X- _ B-Good_View

สิ่งอำนวยความสะดวก -X- _ B-Facilities_Neu
และมื้อเช้า -X- _ I-Facilities_Neu
ได้มาตราฐาน -X- _ I-Facilities_Neu

ดีย์คุ้มค่า -X- _ B-Value_Pos
พนักงานน่ารัก -X- _ B-Price_Pos

ที่พักดีงาม -X- _ O
เหมาะกับการพักผ่อน -X- _ O
อาหารเช้าอร่อยแลเมีให้เลือกดีมาก -X- _ B-Various_Pos
กลับมาอีกแน่นอน -X- _ B-Impressed_Pos

ห้องพักสวยมาก -X- _ B-Room_Pos
สิ่งอำนวยความสะดวกพร้อม -X- _ B-Facilities_Neu
ห้องดี -X- _ B-Room_Pos
สะอาด -X- _ I-Room_Pos
กว้าง -X- _ I-Room_Pos
ตกแต่งสวยงาม -X- _ I-Room_Pos

ที่พักสบาย -X- _ B-Service_Pos
บริการดีมาก -X- _ I-Service_Pos

การต้องการการพักผ่อนของครอบครัว -X- _ B-Recommend_Pos
ลองมาที่นี่ดูครับ -X- _ I-Recommend_Pos

โรงแรมดี -X- _ O
พนักงานบริการดี -X- _ B-Service_Pos
สถานที่สวยมุมถ่ายรูปเยอะ -X- _ O
มีอัลปาก้า -X- _ O
กระต่าย -X- _ O
ไก่ขนฟู -X- _ O
ให้เด็กดู -X- _ O

ดีมากก -X- _ B-Room_Pos

พนักงานบริการดีมาก -X- _ B-Service_Pos
ให้การต้อนรับอย่างดี -X- _ I-Service_Pos
รายละเอียดเล็กๆน้อยๆ -X- _ I-Service_Pos
เขาจำได้หมดเลย -X- _ I-Service_Pos

เหมาะสำหรับการพักผ่อนแนะนำเลยครับ -X- _ B-Recommend_Pos

มาแล้วไม่ผิดหวังตรงปกค่ะ -X- _ B-Impressed_Pos

การบริกของพนักงานดีมากครับ -X- _ B-Service_Pos
จะไปอีกแน่นอนครับ -X- _ I-Service_Pos

โดยรวมถือว่าดีครับ -X- _ O
พนักงานให้ข้อมูลดี -X- _ B-Service_Pos

ที่พักดีสะอาด -X- _ B-Clean_Pos
พนักงานบริการดีมากค่ะ -X- _ B-Service_Pos
อาหารอร่อยด้วย -X- _ B-Food_Pos

ที่นอนไม่ตรงปกค่ะ -X- _ B-Room_Neg
ในรูปเตียงดูดี -X- _ I-Room_Neg
แต่ของจิงคือไก่กามาก -X- _ I-Room_Neg
แย่ๆ -X- _ I-Room_Neg

ที่นอนแข็งมาก -X- _ B-Quality_Neg
ไม่ตรงปก -X- _ I-Quality_Neg
ห้องแคบ -X- _ I-Quality_Neg
ผ้าห่มบางมาก -X- _ I-Quality_Neg
ห้องน้ำ -X- _ I-Quality_Neg
เสียงท่อน้ำด้านบนดัง -X- _ I-Quality_Neg

ทุกอย่างดีหมด -X- _ O
ยกเว้นตอนเช้าแปดโมง -X- _ O
แม่บ้านเข็นรถทำความสะอาดไล่ทำห้องที่เช็คเอ้าท์ก่อนเสียงดังมาก -X- _ B-Impressed_Neg
แทนจะจอดไว้ห้องใดห้องนึงแล้วเดินหยิบเอา -X- _ I-Impressed_Neg
นี่อะไรเข็นแม่งทุกห้องชั้ลต้องสะดุ้งตื่น -X- _ I-Impressed_Neg
โครตรำคาญ -X- _ I-Impressed_Neg

ยังกะหอพักนักศึกษา -X- _ O
เตียงก็เล็ก -X- _ B-Room_Neg
ไม่นุ่ม -X- _ I-Room_Neg
ห้องเล็กๆ -X- _ I-Room_Neg
คานก็ต่ำ -X- _ I-Room_Neg
อยู่แล้วอึดอัดค่ะ -X- _ I-Room_Neg

คนในโรงแรมเสียงดังตลอดเวลาเลยค่ะ -X- _ B-Convenience_Neg
จะหลับก็หลับไม่เต็มอิ่ม -X- _ I-Convenience_Neg

พักกับแฟน -X- _ B-Clean_Neg
ได้ห้องเตียงคู่ -X- _ I-Clean_Neg
เลยดันเตียงมาติดกัน -X- _ I-Clean_Neg
ใต้เตียงมีทั้งฝุ่นเป็นใยๆ -X- _ I-Clean_Neg
เส้นผมเป็นกอง -X- _ I-Clean_Neg
ขยะ -X- _ I-Clean_Neg
กระดาษต่างๆ -X- _ I-Clean_Neg

เพดานสกปรกมาก -X- _ B-Clean_Neg
เสียงดัง -X- _ O
เสียงเดินจากห้องด้านบนหนวกหูมาก -X- _ O

ห้องมีฝุ่นเยอะมาก -X- _ B-Room_Neg
เหม็นอับ -X- _ I-Room_Neg
ไม่มีความสะอาด -X- _ B-Clean_Neg
ใต้เตียงมีกล่องอะไรไม่รู้ -X- _ B-Impressed_Neg
ไม่ประทับใจ -X- _ I-Impressed_Neg

ประตูห้องเปิดไม่ได้ -X- _ O
3 -X- _ O
รอบ -X- _ O
ต้องลงไปบอกข้างล่างเดินขึ้นเดินลง -X- _ O
ไวไฟ -X- _ B-Facilities_Neg
เชื่อมต่อไม่ได้แย่ -X- _ I-Facilities_Neg

ชั้น7 -X- _ O
ตรงกับห้อง -X- _ O
604 -X- _ O
เสียงดังมาก -X- _ B-Convenience_Neg
นอนไม่หลับ -X- _ I-Convenience_Neg
ไม่ได้ -X- _ I-Convenience_Neg
ความเป็นส่วนตัว -X- _ I-Convenience_Neg
เลย -X- _ I-Convenience_Neg

เสียงข้างห้อง -X- _ O
รบกวนมาก -X- _ O
นอนไม่ได้ -X- _ O
เลย -X- _ O
พนักงาน -X- _ B-Service_Neg
บริการ -X- _ I-Service_Neg
ไม่โอเค -X- _ I-Service_Neg

มีขายอาหารแค่ถึงเที่ยงตอนกลางคืนไม่มีไม่เหมาะที่จะได้4ดาวเลย -X- _ B-Food_Neg

ห้องพักดี -X- _ B-Room_Pos
สะอาด -X- _ B-Clean_Pos
แต่ไม่ประทับใจกับพนักงานหน้าเคาเตอร์เลย -X- _ B-Impressed_Neg
ดึงหน้าดึงเสียงใส่ -X- _ I-Impressed_Neg
ไม่มีใจบริการเลย -X- _ I-Impressed_Neg
แย่ -X- _ I-Impressed_Neg
! -X- _ I-Impressed_Neg
ไปพักที่นี่หลายครั้งก็เหมือนเดิมทุกครั้ง -X- _ B-Recommend_Neg
เจอแบบนี้ต่อให้ห้องดี -X- _ I-Recommend_Neg
แต่ก็ไม่คิดบอกต่อใครนะ -X- _ I-Recommend_Neg

ห้องฝุ่นเยอะมาก​ -X- _ B-Room_Neg
โดยเฉพาะ​ใต้เตียง​ -X- _ I-Room_Neg

ขอผ้าห่มเพิ่มคิดวันละ200 -X- _ B-Facilities_Neu
บาท -X- _ I-Facilities_Neu
ย้ำนะคะ -X- _ I-Facilities_Neu
วันละ -X- _ I-Facilities_Neu
! -X- _ I-Facilities_Neu
เราพักหลายคืนก็เสียX -X- _ I-Facilities_Neu
เข้าไป -X- _ I-Facilities_Neu

เก็บค่ามัดจำกุญแจแพงเกินไป -X- _ B-Price_Neg

พักต่อพนักงานต้อนรับไม่เคยคิดจะถามลูกค้าเลยว่าทำความสะอาดห้องหรือไม่ -X- _ B-Service_Neg
แย่ลงจากช่วงก่อนมาก -X- _ I-Service_Neg

มาพักที่นี่ติดต่อกันหลายครั้ง -X- _ O
ห้องพักสะอาด -X- _ B-Clean_Pos
ใกล้จุดนัดพบ -X- _ B-Location_Pos
สิ่งอำนวยความสะดวกครบ -X- _ B-Convenience_Pos
แต่พนักงานเช็คอินช้า -X- _ O
เช็คเอ้าก็ล่าช้าให้นั่งรอ -X- _ O
สรุปสุดท้ายห้องอื่นมาทีหลังแซงคิวได้ -X- _ O
แสดงถึงการบริหารจัดการที่ไม่ดี -X- _ O
ละเลยไม่ดูลำดับลูกค้าก่อนหลัง -X- _ O
ควรปรับปรุง -X- _ O

หมอนน้อยไปหน่อยค่ะ -X- _ B-Facilities_Neg
ไม่มีหมอนสำรองให้ด้วย -X- _ I-Facilities_Neg
เสียงลากเก้าอี้จากชั้นบน -X- _ O
เสียงแม่บ้านข้างห้องทำความสะอาดดังมากค่ะ -X- _ O
ไวไฟกากมากค่ะ -X- _ O
ต้องใช้เน็ตโทรสัพตัวเอง -X- _ O

ลืมที่ชาร์ท -X- _ B-Room_Neu
แต่ไม่ได้คืน -X- _ I-Room_Neu
ไม่โทษทั้งหมด -X- _ I-Room_Neu
แต่โทษคนเอาไป -X- _ I-Room_Neu
ซึ่งจริงๆ -X- _ I-Room_Neu
ก็ส่งผลเสียต่อโรงแรม -X- _ I-Room_Neu

เสียงรบกวนเป็นปัญหาสำหรับการพักผ่อนมากค่ะ -X- _ B-Convenience_Neg
จะเสียงเดิน -X- _ I-Convenience_Neg
พูดคุยกัน -X- _ I-Convenience_Neg
เสียงเลื่อนเก้าอี้ -X- _ I-Convenience_Neg
ห้องอื่น -X- _ I-Convenience_Neg
ชั้นอื่น -X- _ I-Convenience_Neg
ได้ยินชัดมากดังมาก -X- _ I-Convenience_Neg
เอะอะไปหมด -X- _ I-Convenience_Neg
หลับไม่ได้เลย -X- _ I-Convenience_Neg
อย่างอื่นโดยรวมก็ดีค่ะ -X- _ O

ห้องก็ถือว่าใช้ได้ -X- _ B-Room_Neu
แต่ห้องเล็ก -X- _ I-Room_Neu
และอยู่ในซอยลึกหน่อย -X- _ O
อาหารเช้าส่วนมากเป็นอาหารไทย -X- _ B-Food_Neu

รร.ดีค่ะ -X- _ O
แอร์เย็นดี -X- _ O
สะอาด -X- _ B-Clean_Pos
แต่ไม่เก็บเสียง -X- _ O

ห้องไม่เก็บเสียงเลย -X- _ B-Room_Neg
ห้องชั้นบน -X- _ I-Room_Neg
ห้องข้างๆอาบน้ำ -X- _ I-Room_Neg
เลื่อนเก้าอี้ -X- _ I-Room_Neg
เดิน -X- _ I-Room_Neg
คือได้ยินเสียงหมด -X- _ I-Room_Neg

ห้องเก่า -X- _ B-Room_Neg
ผ้าปูสกปรก -X- _ O
อัพ -X- _ O
มียุง -X- _ O
เดินทางไม่สะดวกเลยตอนมาจากสนามบิน -X- _ B-Location_Neg
ขอกลับไปสนามบินมีรถตู้บริการ -X- _ B-Service_Pos
เลยโอเคขึ้นมาหน่อย -X- _ I-Service_Pos

ประตูไม่เก็บเสียงเลย -X- _ B-Room_Neg
ตรงระเบียงก็ประตูพังเสียงเข้ามาทั้งคืน -X- _ I-Room_Neg
ห้องน้ำเหม็นมาก -X- _ I-Room_Neg

ห้องสวย -X- _ B-Room_Pos
แต่ไม่ค่อยสะอาด -X- _ B-Clean_Neg
ทำเลที่ตั้ง -X- _ B-Location_Neu
ซับซ้อนที่เช็คอินก็อยู่คนละตึกห้องไม่เก็บเสียง -X- _ I-Location_Neu
มีกลิ่นก็สมราคาแหละ -X- _ B-Value_Neu

แย่มาก -X- _ B-Convenience_Neg
เปิดแอร์ -X- _ I-Convenience_Neg
20องศา -X- _ I-Convenience_Neg
ไม่เย็นเลยนอนเหงื่อออกไม่หลับ -X- _ I-Convenience_Neg

คือผิดหวังมากทั้งเรื่องห้องพักเครื่องอำนวยความสะดวกไดร์เป๋าผมใช้ไม่ได้แปรงสีฟันแปรงทีขนแปรงหลุดติดซี่ฟันเลยคงไม่มาพักที่นี้อีกแล้วค่ะ -X- _ B-Facilities_Neg

ถนนสลับซับซ้อน -X- _ O
พนักงานต้อนรับหน้าไม่ค่อยรับแขก -X- _ B-Service_Neg
ถ้าใครจะไปพัก -X- _ B-Recommend_Neg
แนะนำว่าหาที่ใหม่ดีกว่าค่ะ -X- _ I-Recommend_Neg

ทางเข้าที่พัก -X- _ B-Location_Neg
รร.ไม่สะดวกเลย -X- _ I-Location_Neg
ไม่มีป้าย -X- _ O
บอกทาง -X- _ O
ที่พักสกปรก -X- _ O
ห้องพักเสียงดัง -X- _ O
ห้องพัก -X- _ O
ไม่ตรง -X- _ O
กับที่จองไว้ -X- _ O

ไกลไปหน่อย -X- _ B-Location_Neg
หากินยาก -X- _ I-Location_Neg
เดินไกล -X- _ I-Location_Neg
การบริการไม่ค่อยดี -X- _ B-Service_Pos
คงเพราะเราลูกค้าคนไทย -X- _ I-Service_Pos
เขาไม่ค่อยสนใจ -X- _ I-Service_Pos
ห้องไม่สะอาด -X- _ B-Clean_Neg
เก็บกวาดไม่หมด -X- _ I-Clean_Neg
มีกลิ่น -X- _ I-Clean_Neg
เสียงรบกวนเข้าในห้อง -X- _ O
ห้องน้ำแคบ -X- _ O
ติดประตู -X- _ O
ข้อดีคือมีสิ่งอำนวยความสะดวกครบ -X- _ B-Facilities_Pos
และมีสระว่ายน้ำ -X- _ I-Facilities_Pos

D -X- _ B-Room_Neu
พอใช้ -X- _ I-Room_Neu
เสียงดังไปนิดหน่อย -X- _ I-Room_Neu

ทำเลค่อนข้างลึกและซอยแคบมาก -X- _ B-Location_Neu
ห้องไม่เก็บเสียง -X- _ O
พักหลายวัน -X- _ B-Service_Neg
พนักงานไม่ทำความสะอาดห้องให้ -X- _ I-Service_Neg

ได้พักอีกตีกไม่สะอาดค่ะ -X- _ B-Clean_Neg

ใกล้สนามบินดอนเมือง -X- _ B-Location_Pos
รีโมทแอร์เสียปรับอุณหภูมิไม่ได้ -X- _ O

กดยกเลิกแต่ไม่ได้เงินคืน -X- _ B-Price_Neg

ห้องน้ำเหม็นมากกก -X- _ B-Clean_Neg
บอกให้ทำความสะอาดก็ไม่ทำให้ -X- _ I-Clean_Neg
จนได้ทำความสะอาดเอง -X- _ I-Clean_Neg
แต่บริการดีมากค่ะเป็นกันเอง -X- _ B-Service_Pos

ห้องโอเคร -X- _ B-Room_Neu
อาหารอร่อย -X- _ B-Food_Pos
แต่ประตูห้องเสียงดัง -X- _ O
ไม่เก็บเสียง -X- _ O

ห่างไกลร้านสะดวกซื้อมาก -X- _ B-Location_Neu
แอร์เสียงดังมาก -X- _ O

สะดวกต่อการเดินทาง -X- _ B-Service_Pos
มีรถรับ-ส่งสนามบิน -X- _ I-Service_Pos
ทุกๆๆๆ1ชม -X- _ I-Service_Pos
. -X- _ I-Service_Pos

ไม่ตรงปกเลยค่ะผิดก้บที่คาดหวังมากค่ะ -X- _ B-Impressed_Neg

ห้องเหม็น -X- _ B-Clean_Neg
เสียงดัง -X- _ O

ห้องค่อนข้างเก่านิดหนึ่ง -X- _ B-Room_Neg
แต่ดีที่ใกล้สนามบิน -X- _ B-Location_Pos

ต้องปรับปรุง -X- _ B-Recommend_Neu

ห้องพักสกปรกมากมีฝุ่นทั้งในและในเฟอร์นิเจอร์ทั้งหมด -X- _ B-Clean_Neg
รวมทั้งในตู้เย็น -X- _ O
และมีขนของผู้ชายอยู่บนเตียง -X- _ O
หลังจากที่ฉันร้องเรียนกับแผนกต้อนรับ -X- _ O
พวกเขาก็ขอโทษและรับรองกับฉันว่าพวกเขาจะทำความสะอาดให้หมดทันที -X- _ O

ห้องพักแย่มาก -X- _ B-Room_Neg
กลางคืนยุงเยอะมากจนแทบจะนอนไม่หลับเท่ากับห้องคืนละ -X- _ I-Room_Neg
30 -X- _ O
หยวนในเมืองชั้น -X- _ O
2 -X- _ O
ของจีน -X- _ O

พนักงานตอนกลางคืนหยาบคายมากและไม่มีใจบริการเลย -X- _ B-Service_Neg

ห้องแย่มาก -X- _ B-Room_Neg
อยู่ไม่ได้ -X- _ I-Room_Neg
อากาศอับมาก -X- _ I-Room_Neg
บรรยากาศน่ากลัวสุดๆ -X- _ B-Bad_View
ที่แย่ที่สุดคืออากาศและความน่ากลัว -X- _ I-Bad_View

ห้องน้ำไม่สะอาด -X- _ B-Clean_Neg
มีคราบสกปรกดำ -X- _ I-Clean_Neg
ห้องนอนที่นอนไม่ดึง -X- _ O

ไม่สะอาด -X- _ B-Clean_Neg
เสียงดัง -X- _ O
อยู่ในตัวเมืองก็จริงค่ะแต่ว่าถ้ามีรถมาไปพักที่อื่นดีกว่า -X- _ B-Recommend_Neg

ทำเลดี -X- _ B-Location_Pos
แต่บริการไม่ดี -X- _ B-Service_Neg

ราคาสูงไป -X- _ B-Price_Pos
เมื่อเทียบกับการบริการ -X- _ O
อาหารเช้ายอดแย่ -X- _ B-Food_Neg
สระว่ายน้ำเล็กมาก -X- _ O

โรงแรมไฟออกแนวมืดๆ -X- _ B-Room_Neu
สภาพค่อนข้างเก่า -X- _ I-Room_Neu

ห้องใหญ่ -X- _ B-Room_Pos
ไม่ค่อยสะอาด -X- _ B-Clean_Neg

ราคาแพงเกินจริงไปมาก -X- _ B-Price_Pos
บนห้องตกแต่งด้วยวัสดุถูกไม่สมราคา -X- _ B-Quality_Neg
การบริการแย่สุดไม่มีแม้คนต้อนรับพนักงานช่วยยกกระเป๋าก็ไม่มี -X- _ B-Service_Neg

พนักงานบริการไม่ค่อยดี -X- _ B-Service_Neg
ห้องพักธรรมดา -X- _ B-Room_Neu
ในรูปสวยกว่า -X- _ I-Room_Neu
ได้ทำเลดีแค่ใกล้ห้าง -X- _ B-Location_Neu
ซึ่งไม่จำเป็น -X- _ I-Location_Neu

ทำเลก็งั้นๆ -X- _ B-Location_Neu
ห้องพักก็ไม่แย่ไม่ดี -X- _ B-Room_Neu

ห้องสกปรก -X- _ B-Clean_Neg
มีกลิ่นเหม็นอับ -X- _ I-Clean_Neg
แอร์เสียงดังมาก -X- _ O

เครื่องปรับอากาศไม่เย็น -X- _ O
หรือเป็นเพราะห้องหันรับแสงช่วงบ่ายพอดี -X- _ O
แอร์เลยไม่ค่อยเย็น -X- _ O
เตียงนอนไม่นุ่ม -X- _ B-Convenience_Neg
นอนไม่สบายตัว -X- _ I-Convenience_Neg
อาหารเช้ามีให้เลือกน้อยมากไม่ค่อยดี -X- _ B-Various_Neg

ห้องพักเก่า -X- _ B-Room_Neg
หมอนผ้าปู -X- _ O
ผ้าเช็ดตัวเก่ามากหมอนเหม็นอับมากด้วย -X- _ O
เลือกไปเลือมาได้โรงแรมอะไรก็ไม่รู้ -X- _ O
ห้องแอร์ไม่เย็น -X- _ O

ราคาแพงเทียบกับคุณภาพ -X- _ B-Quality_Neg
แถวกน้า -X- _ B-Facilities_Neg
รร -X- _ I-Facilities_Neg
ไม่มี -X- _ I-Facilities_Neg
ร้านสดวกซื้อ -X- _ I-Facilities_Neg
ไปถึง -X- _ I-Facilities_Neg
รร -X- _ I-Facilities_Neg
ดึก -X- _ I-Facilities_Neg
ปรากฎว่าไม่มีแปรงกะยาสีฟันให้ -X- _ I-Facilities_Neg

แอร์ไม่เย็นค่ะ -X- _ B-Facilities_Neu
แอร์เก่า -X- _ I-Facilities_Neu

ทำเลหาง่าย -X- _ B-Location_Pos
อาหารเช้าเยอะ -X- _ B-Various_Pos
แต่ห้องอาหารสกปรก -X- _ B-Clean_Neg
พนักงานไม่ค่อยเก็บจานที่แขกใช้แล้ว -X- _ B-Service_Neg
เวลามีทัวร์จีนเสียงดังมาก -X- _ O

ไม่ประทับใจในการเข้าพัก -X- _ B-Impressed_Neg
พนักงานบริการโอเค -X- _ B-Service_Neu

เจอขา -X- _ B-Food_Neg
( -X- _ I-Food_Neg
แมลงสาบ -X- _ I-Food_Neg
? -X- _ I-Food_Neg
) -X- _ I-Food_Neg
ในอาหาร -X- _ I-Food_Neg
พอค่ะ -X- _ I-Food_Neg
นึกว่าเลือกที่ดูดีแล้ว -X- _ I-Food_Neg
รีวิวก็เหมือนจะดี -X- _ I-Food_Neg

เจอเส้นผมและรอยเท้าใต้ผ้าห่มบนที่นอน -X- _ B-Clean_Neg
สงสัยแม่บ้านไม่ได้เปลี่ยนผ้าปูใหม่ให้ -X- _ I-Clean_Neg

ไม่แจ้งให้ทราบล่วงหน้า -X- _ B-Service_Neg
แย่มาก -X- _ I-Service_Neg

ไม่ประทับใจ -X- _ B-Impressed_Neg
- -X- _ O
ที่จอดรถน้อย -X- _ O
- -X- _ O
พนักงานผู้หญิงพูดจาไม่ดี -X- _ B-Service_Neg
- -X- _ O
มาเช็คอิน -X- _ O
14.30 -X- _ O
ยังต้องมารอห้องอีก -X- _ O
- -X- _ O
อาหารเช้าน้อย -X- _ B-Food_Neg

โรงแรมไฟดับตั้งแต่สองทุ่มถึงแปดโมงเช้า -X- _ B-Convenience_Neg

พนักงานไม่มีความเป็นมืออาชีพในการให้บริการให้ความช่วยเหลือลูกค้า -X- _ B-Service_Neg

การแก้ปัญหาเฉพาะหน้าของพนักงาน -X- _ B-Service_Neu

สิ่งอำนวยความสะดวกไม่ครบครัน -X- _ B-Convenience_Neg

การบริการไม่ดี -X- _ B-Service_Neg

ไม่ได้รับการตอบรับใดๆทั้งสิ้น -X- _ B-Impressed_Neg
เสียโอกาศ -X- _ I-Impressed_Neg
เสียเวลา -X- _ I-Impressed_Neg
รู้งี้ไปที่อื่นดีกว่า -X- _ I-Impressed_Neg

ปิดทุกอย่างเลย -X- _ B-Bad_View
วิวทะเลก็ไม่เห็น -X- _ I-Bad_View
วิวดาดฟ้าก็ไม่เห็น -X- _ I-Bad_View

พอดีเจอประสบการณ์เข้าพักในครั้งแรกที่ไม่ดี -X- _ B-Impressed_Neg
เลยไม่คิดจะพักอีก -X- _ I-Impressed_Neg

อาหารเช้าไม่อร่อย -X- _ B-Food_Neg

โรงแรมดี -X- _ O
เหมาะสำหรับเด็กเล็ก -X- _ O
อาหารอร่อย -X- _ B-Food_Pos

ห้องสะอาด -X- _ B-Clean_Pos
ใหม่ -X- _ O
ชอบยาสระผมกับครีมนวดมากค่ะ -X- _ O

ห้องสะอาด -X- _ B-Clean_Pos
เตียงนอนสบาย -X- _ B-Convenience_Pos
ราคาสมเหตุสมผล -X- _ B-Value_Pos

ชอบครับ -X- _ B-Clean_Pos
ห้องสะอาด -X- _ I-Clean_Pos
สบาย -X- _ I-Clean_Pos
ข้างล่าง -X- _ O
7-11 -X- _ O
ใช่เลย -X- _ O

ห้องสะอาด -X- _ B-Clean_Pos
พนักงานบริการดีเยี่ยม -X- _ B-Service_Pos

โดยรวมดีค่ะ -X- _ O
ยกเว้นที่นอน -X- _ B-Convenience_Neg
แข็งมากๆนอนแล้วปวดหลัง -X- _ I-Convenience_Neg

ห้องสวย -X- _ B-Room_Pos
สะดวก -X- _ B-Convenience_Pos
สะอาด -X- _ I-Convenience_Pos
สงบ -X- _ I-Convenience_Pos
สะดวกสบาย -X- _ I-Convenience_Pos
อาหารอร่อย -X- _ B-Food_Pos

ดีค่ะ -X- _ B-Room_Pos
ส่วนตัว -X- _ I-Room_Pos
